old;strand;new
;IFCMWV;1-1
1-1;FMUNUA;1-2
1-2;VYEGRK;1-3
1-3;XRRYRH;1-4
1-4;OJBHIR;1-5
2-1;IDIXXX;2-1
2-2;GUFTUZ;2-2
2-3;SMYOGN;2-3
2-4;WLODMJ;2-4
3-1;LWUQXU;2-5
3-2;ABTCTG;3-1
3-3;HTWJZY;3-2
4-1;SOXWDN;3-3
4-2;QIVBXP;3-4
;PVLEDQ;3-5
4-3;TSBKMM;3-6
4-4;BRMSHF;4-1
5-1;NYPSKS;4-2
5-2;IGHGUX;4-3
5-3;KDDRNV;5-1
5-4;AXTTWG;5-2
5-5;MMFVPT;5-3
6-1;SGQNQN;5-4
6-2;SRXFBN;5-5
6-3;IBIPBX;5-6
6-4;UMTJWL;5-7
7-1;LTVIBU;5-8
7-2;KGCZKV;6-1
7-3;UFMHHL;6-2
7-4;LSNWFU;6-3
8-1;SIQVON;6-4
8-2;LPNOIU;7-1
8-3;DIADKD;7-2
8-4;EUKZFC;7-3
9-1;KADJQV;7-4
9-2;FQCGMB;7-5
9-3;MFXTAT;7-6
9-4;FHUWAB;8-1
10-1;NTQCQS;8-2
10-2;KJKTDV;8-3
10-3;UILPEL;8-4
10-4;EBSBUC;8-5
10-5;WFHBWJ;8-6
11-1;VUVMYK;9-1
11-2;YNJFYH;9-2
11-3;PFSOPQ;9-3
11-4;EXKICC;9-4
12-1;VBEOOK;9-5
12-2;HQXBDY;10-1
12-3;MJFNST;10-2
12-4;NNIBBS;10-2
12-5;HHPQQX;10-2
13-1;OZTXVR;10-3
13-2;SLQELN;10-4
13-3;JZZEFW;10-5
13-4;TYJLBM;11-1
14-1;QRDLKP;11-2
14-2;XBYIEI;11-3
14-3;RSGQVO;11-4
14-4;PMEUQP;11-5
15-1;LYUYUU;12-1
15-2;BTMBEF;12-2
15-3;RFNIFO;12-3
15-4;GEMEIA;12-4
16-1;TCJTYM;12-5
